site_id,name,address,point_x,point_y,site_use,status_id,drain_acres,imp_percent,imp_acres,an_runoff,retro_type_id,bmp_type_ids,feasibility_id,dsgn_dfclt_id,wtrshd_bft_id,priority_id,source_ids
26,,wyman park below tudor arms ave and gilman terr,-76.62450889,39.33463964,stormwater pond/wetland system to treat stormwater runoff from upstream drainage area,2,60,30,18,2634508.8,2,14,3,4,4,3,7
27,,cross country blvd and chilham ave,-76.66405792,39.36537629,,2,0,0,0,0,,9,,,,,7
28,,glen ave and merville ave,-76.67883775,39.36007198,,2,0,0,0,0,,,,,,,7
29,,cross country es,-76.68797089,39.36224958,permeable pavement to replace conventional pavement in existing parking lot,2,0.5,100,0.5,65176.65,1,"10, 16",4,4,1,3,7
30,,pimlico ms,-76.68310844,39.35448221,impervious cover removal with site reforestation/revegetation,2,1,100,1,130353.3,1,6,4,1,1,4,7
31,,northwestern hs,-76.70509953,39.36477252,,2,0,0,0,0,,,,,,,7
32,,hamilton ms,-76.69832888,39.37762714,,2,0,0,0,0,,,,,,,7
33,,hamilton es,-76.70541578,39.37791538,,2,0,0,0,0,,,,,,,7
34,,hazelwood es,-76.68468031,39.38139969,,2,0,0,0,0,,,,,,,7
35,,moores run park  between hamilton ave and radecke ave,-76.67901552,39.38710715,,2,0,0,0,0,,,,,,,7
36,,moores run park  between radecke ave and sinclair ln,-76.681431,39.38618073,,2,0,0,0,0,,,,,,,7
37,,radecke playfield radecke ave and gardenwood ave,-76.67995837,39.38095984,stormwater pond/wetland system to treat stormwater runoff from upstream drainage area,2,32,40,12.8,1800247.68,2,14,4,4,4,4,7
38,,moores run park  between sinclair ln and i-895,-76.67271644,39.39211641,,2,0,0,0,0,,,,,,,7
39,,parkside shopping center sinclair ln and moravia rd,-76.54604075,39.32354682,,2,0,0,0,0,,,,,,,7
40,,herring run park between harford rd and argonne dr,-76.57649528,39.33444915,dry swale to convey and treat stormwater runoff from upstream drainage area,2,12,60,7.2,971475.12,2,4,3,4,4,3,7
